GP,LAT,LONG
40TH MILE,27.59354,93.02056
BEYONG,27.58059,92.97483
JOKHIO,27.65321,93.02851
JOMOH,27.65759,92.996
KHENEWA,27.61787,93.02028
LONDA,27.51356,93.01983
LORRAH,27.53215,92.98778
MARGINGLA,27.63172,93.03794
PAFFA,27.60251,93.05906
PAKKE,27.56244,92.97796
PANGIA,27.63622,93.02289
PORDUNG,27.60633,93.01884
REWA SOLUNG,27.61233,92.91269
SANGBIA,27.6194,93.05479
WAII,27.59665,92.94682
BAMENG-1,27.54462,92.94383
BAMENG-II/TARA,27.55118,92.94504
EFFA,27.50712,92.90909
GIKUNG,27.56375,92.80328
LADA,27.56874,92.77727
LAPUNG,27.54479,92.89611
LOWER LIYAK/SEKONG,27.51922,92.82169
MIORANG,27.53532,92.96269
POUBE,27.55134,92.87454
ROJO/WAKKE,27.55642,92.7431
SACHUNG,27.61791,92.73761
TALLO,27.51402,92.97806
TAWE,27.62668,92.74669
UPPER LIYAK,27.53115,92.84473
WABLONG,27.5595,92.78906
BANA CAMP,27.28008,92.8815
BANA VILLAGE,27.28024,92.8912
CHIJANG,27.29186,92.8486
FENGCHE,27.32251,92.96218
NARINGWA,27.30578,93.01694
NEPING,27.29737,92.95211
SILLA,27.31656,92.89779
TALLOMSIMA RICHUKHORANG,27.38399,92.82402
TATATARA,27.33183,93.05416
WATTE,27.29884,92.94435
YANGSEY,27.28282,92.85078
CHAYANGTAJO,27.67926,93.13953
CHAYANGTAJO MODEL VILLAGE,27.68397,93.13155
DOMDILA,27.66956,93.10839
JAYANG BAGANG,27.75411,93.17768
KILLO,27.68257,93.10094
NAMCHAR BAGANG,27.64808,93.11395
REBE,27.69769,93.12135
SANCHU,27.68501,93.15269
TAGAMPU,27.72619,93.11631
WADA BAGANG,27.70493,93.16401
YANGFO,27.73846,93.14642
KEKO,27.16407,93.19413
KHODASO,27.18224,93.28473
LOWER BAZAR LINE,27.16107,93.21465
NGOLEKO,27.20851,93.13736
PASSA CAMP,27.2123,93.11713
RILLOH-I,27.21978,93.17428
RILLOH-II,27.20487,93.15048
SUCHUNG,27.14327,93.1443
TAOSA,27.17612,93.25028
GUMTUNG,27.2908,93.1356
LOGONI,27.29209,93.07172
LUNDUNG,27.28815,93.07049
NERE,27.26941,93.04023
NINGCHO,27.24783,93.03077
PAKRO,27.23513,93.07198
PALIN,27.2988,93.1399
PIPOKORO,27.29366,93.06445
SEBA,27.22838,93.03411
SEDE,27.29643,93.10529
TAROYAR/PATIWA,27.2515,93.06485
VEO,27.27458,93.08742
BOKAR,27.53951,93.09645
DIPULAMGU,27.51576,93.11472
DOKA,27.58235,93.13314
DOKRE,27.47485,93.13529
FLAGO,27.60912,93.12253
JOTTE CHEDA,27.55267,93.14384
KAPUDADA,27.49287,93.06912
LOCHUNG,27.52774,93.06651
PIPU,27.55646,93.1175
