FPOI,LAT,LONG,GPs connected
BAMENG EAST,27.59285,93.02091,1
BAMENG EAST,27.5631,92.97925,1
BAMENG EAST,27.6537,93.03195,1
BAMENG EAST,27.6179,93.01943,1
BAMENG EAST,27.51498,93.01976,1
BAMENG EAST,27.53167,92.98841,1
BAMENG EAST,27.63173,93.03847,1
BAMENG EAST,27.60792,93.03373,1
BAMENG EAST,27.56276,92.97759,1
BAMENG EAST,27.64309,93.03547,1
BAMENG EAST,27.60597,93.014,1
BAMENG EAST,27.61086,92.91129,1
BAMENG EAST,27.59416,92.94637,1
BAMENG WEST,27.54333,92.9486,1
BAMENG WEST,27.53967,92.95166,1
BAMENG WEST,27.53938,92.80344,1
BAMENG WEST,27.57037,92.77766,1
BAMENG WEST,27.53443,92.89692,1
BAMENG WEST,27.52082,92.824,1
BAMENG WEST,27.57154,92.7769,1
BAMENG WEST,27.51449,93.00126,1
BAMENG WEST,27.53047,92.84974,1
BAMENG WEST,27.55918,92.78908,8
BANA,27.28018,92.87695,1
BANA,27.27545,92.88699,1
BANA,27.28418,92.85903,1
BANA,27.31449,92.98261,1
BANA,27.33715,93.03159,1
BANA,27.30401,92.9483,1
BANA,27.38323,92.82423,1
BANA,27.3421,93.03685,1
BANA,27.28522,92.85181,3
CHAYANGTAJO,27.68228,93.1364,1
CHAYANGTAJO,27.68108,93.13588,1
CHAYANGTAJO,27.66831,93.11059,1
CHAYANGTAJO,27.67704,93.12015,1
CHAYANGTAJO,27.66734,93.11088,6
PAKKEKESSANG,27.15927,93.21976,1
PAKKEKESSANG,27.18731,93.2721,1
PAKKEKESSANG,27.20631,93.1376,1
PAKKEKESSANG,27.21203,93.118,1
PAKKEKESSANG,27.20298,93.14956,1
PAKKEKESSANG,27.17556,93.25065,4
PAPU VALLEY,27.28764,93.0697,1
PAPU VALLEY,27.26891,93.04047,1
PAPU VALLEY,27.24771,93.03229,1
PAPU VALLEY,27.23548,93.07147,1
PAPU VALLEY,27.29378,93.06457,1
PAPU VALLEY,27.22824,93.03434,1
PAPU VALLEY,27.25176,93.06657,6
PIPU,27.5201,93.11728,1
PIPU,27.55618,93.11783,1
PIPU,27.55626,93.11838,1
PIPU,27.48841,93.06528,6
SAWA,27.66169,93.03721,1
SAWA,27.68288,93.05195,1
SAWA,27.64061,93.04374,1
SAWA,27.69813,93.02895,1
SAWA,27.6444,93.07435,1
SAWA,27.71398,93.031,3
SEIJOSA,26.95815,93.01001,1
SEIJOSA,26.93849,92.99443,1
SEIJOSA,26.93393,92.98762,1
SEIJOSA,26.95218,93.00445,5
SEPPA,27.41582,93.0127,1
SEPPA,27.31452,92.9826,1
SEPPA,27.35328,93.04207,1
SEPPA,27.33786,93.03075,1
SEPPA,27.45917,93.02383,1
SEPPA,27.4802,93.03094,1
SEPPA,27.31782,93.00295,1
SEPPA,27.39284,93.01952,6
BILAT,27.94406,95.1847,1
BILAT,27.94422,95.12481,1
BILAT,27.9454,95.13241,1
BILAT,27.96082,95.23257,1
BILAT,27.92105,95.2386,1
BILAT,27.9633,95.23825,5
BOGONG,27.98698,95.33966,1
BOGONG,28.05858,95.30927,1
BOGONG,28.06364,95.32492,1
BOGONG,28.03829,95.3082,1
BOGONG,28.14141,95.2735,1
BOGONG,28.08816,95.30903,1
BOGONG,28.06097,95.31085,13
BOLENG PEGGING-BOTE,28.33875,94.96397,1
BOLENG PEGGING-BOTE,28.33768,94.96266,1
BOLENG PEGGING-BOTE,28.4532,94.84505,1
BOLENG PEGGING-BOTE,28.38637,94.91678,1
BOLENG PEGGING-BOTE,28.32202,94.97235,4
BOSING,28.02389,95.27661,1
BOSING,28.01175,95.23846,1
BOSING,28.0219,95.2616,1
BOSING,28.0096,95.2329,1
BOSING,28.00675,95.227,3
KOYU,27.97789,94.97549,1
KOYU,27.95499,95.0685,1
KOYU,27.97367,94.95161,1
KOYU,27.94771,94.94216,1
KOYU,27.96076,95.0503,1
MEBO,28.21161,95.53027,1
MEBO,28.1471,95.35866,1
MEBO,28.14887,95.36132,1
MEBO,28.15783,95.25695,1
MEBO,28.16788,95.41321,1
MEBO,28.1665,95.40843,1
MEBO,28.16671,95.41031,1
MEBO,28.17729,95.49186,4
MONGGU-BANGGO,28.06032,95.47276,1
MONGGU-BANGGO,27.92672,95.48893,1
MONGGU-BANGGO,28.06579,95.48305,1
MONGGU-BANGGO,28.00048,95.47826,8
NARI-SEREN,27.8085,95.10988,1
NARI-SEREN,27.81582,95.11361,1
NARI-SEREN,27.82476,95.11322,1
NARI-SEREN,27.79362,95.08714,1
NARI-SEREN,27.78845,95.06075,1
NARI-SEREN,27.79209,95.05892,1
NARI-SEREN,27.76282,95.00461,1
NARI-SEREN,27.75418,94.94885,1
NARI-SEREN,27.75142,94.93146,1
NARI-SEREN,27.74337,94.905,1
PANGIN,28.13691,95.10443,1
PANGIN,28.13977,95.14809,1
PANGIN,28.15871,95.04943,1
PANGIN,28.22696,94.99416,1
PANGIN,28.23475,94.92175,1
PANGIN,28.21629,94.99595,1
PANGIN,28.2253,94.89336,1
PANGIN,28.23751,94.99375,1
PANGIN,28.17322,95.02225,1
REBO,28.33309,95.05635,1
REBO,28.25884,95.04729,1
REBO,28.31773,94.9548,1
REBO,28.18446,95.01747,1
REBO,28.32641,95.05725,2
REBO,28.33115,95.0555,1
REBO,28.32801,95.05687,1
REBO,28.13138,95.13569,2
RIGA,28.4961,95.08892,1
RIGA,28.51697,95.06522,1
RIGA,28.33816,95.02486,5
RIGA,28.3926,95.06567,4
RUKSIN,27.83431,95.14236,1
RUKSIN,27.83372,95.14113,1
RUKSIN,27.85322,95.25737,1
RUKSIN,27.87239,95.22778,1
RUKSIN,27.86548,95.22565,1
RUKSIN,27.8636,95.22562,1
RUKSIN,27.90011,95.23147,1
RUKSIN,27.85166,95.19785,1
RUKSIN,27.8488,95.20728,1
RUKSIN,27.84346,95.2258,1
SILLE OYAN,27.86379,95.29192,1
SILLE OYAN,27.88011,95.3141,1
SILLE OYAN,27.96303,95.31274,3
SILLE OYAN,27.96371,95.31659,1
SILLE OYAN,27.96874,95.33024,2
SILLE OYAN,27.89446,95.30954,4
DAMBUK,28.15958,95.66502,1
DAMBUK,28.26941,95.6132,1
DAMBUK,28.25205,95.58331,1
DAMBUK,28.27009,95.61207,1
DAMBUK,28.2584,95.60008,1
DAMBUK,28.25278,95.59982,8
HUNLI-DESALI,28.37851,95.92874,1
HUNLI-DESALI,28.30328,95.92392,1
HUNLI-DESALI,28.29374,96.04056,1
HUNLI-DESALI,28.3327,95.94957,1
