FPOI BLOCk,LAT,LONG
AMBALAPPUZHA,9.40597,76.35058
AMBALAPPUZHA,9.38293,76.35572
AMBALAPPUZHA,9.43647,76.34446
ARYAD,9.57197,76.34708
ARYAD,9.60374,76.35898
BHARANICAVU,9.17532,76.56168
BHARANICAVU,9.18783,76.59650
BHARANICAVU,9.14569,76.61649
BHARANICAVU,9.17593,76.63622
BHARANICAVU,9.12861,76.55682
CHAMPAKULAM,9.43540,76.42005
CHAMPAKULAM,9.47808,76.38613
CHAMPAKULAM,9.40261,76.40981
CHAMPAKULAM,9.37206,76.41125
CHENGANNUR,9.27587,76.58650
CHENGANNUR,9.30142,76.58712
CHENGANNUR,9.24663,76.61452
CHENGANNUR,9.29927,76.63454
CHENGANNUR,9.30935,76.56378
CHENGANNUR,9.33850,76.57710
HARIPPAD,9.28494,76.45455
HARIPPAD,9.25687,76.45025
HARIPPAD,9.31674,76.42937
HARIPPAD,9.28005,76.47550
HARIPPAD,9.25915,76.40881
HARIPPAD,9.33001,76.46338
KANJIKKUZHY,9.62152,76.33193
KANJIKKUZHY,9.65914,76.31814
KANJIKKUZHY,9.70379,76.31731
KANJIKKUZHY,9.67935,76.37679
MAVELIKKARA,9.27922,76.53384
MAVELIKKARA,9.22772,76.51522
MAVELIKKARA,9.29976,76.53550
MAVELIKKARA,9.24395,76.58533
MUTHUKULAM,9.23823,76.47110
MUTHUKULAM,9.17589,76.47305
MUTHUKULAM,9.15308,76.52637
MUTHUKULAM,9.21371,76.46156
MUTHUKULAM,9.20629,76.49452
PATTANAKKAD,9.73614,76.31849
PATTANAKKAD,9.75651,76.31834
PATTANAKKAD,9.79687,76.31584
PATTANAKKAD,9.86723,76.30528
THYCATTUSSERY,9.73991,76.36275
THYCATTUSSERY,9.77332,76.35295
THYCATTUSSERY,9.81674,76.35036
THYCATTUSSERY,9.86162,76.32359
VELIYANAD,9.40927,76.49857
VELIYANAD,9.49103,76.49721
VELIYANAD,9.44958,76.44792
VELIYANAD,9.42279,76.46915
VELIYANAD,9.42573,76.48811
ALANGAD,10.07528,76.27139
ALANGAD,10.12931,76.30036
ANGAMALI,10.22077,76.41289
ANGAMALI,10.20591,76.42180
ANGAMALI,10.16673,76.43752
ANGAMALI,10.20444,76.45250
ANGAMALI,10.14529,76.42611
ANGAMALI,10.25373,76.47826
EDAPPALLY,10.03942,76.27855
EDAPPALLY,10.01871,76.22573
EDAPPALLY,10.05334,76.27137
KOOVAPPADY,10.09333,76.55694
KOOVAPPADY,10.14944,76.48167
KOOVAPPADY,10.15232,76.52644
KOOVAPPADY,10.08530,76.50220
