GP_NAME,LAT,LONG
Ambalappuzha north,9.40633,76.35110
Ambalappuzha south,9.38353,76.35590
Punnapra north,9.45094,76.34243
Punnapra south,9.43259,76.34533
Purakkad,9.35314,76.36546
Aryad,9.54046,76.34255
Mannancherry,9.57108,76.34763
Mararikulam South,9.66347,76.30921
BHARANICAVU  PANCHAYATH,9.17735,76.55344
CHUNAKKARA,9.19798,76.59788
THAMARAKULAM,9.14514,76.61471
NOORANAD,9.19359,76.63638
PALAMEL,9.17517,76.63955
VALLIKUNNAM,9.13024,76.55618
Champakulam,9.43548,76.42207
Edathua,9.36600,76.47618
Kainakary,9.47858,76.38683
Nedumudy,9.40223,76.41136
Thakazhy,9.37164,76.41185
Thalavady,9.36839,76.50840
ALA,9.28624,76.60863
CHERIYANAD,9.27547,76.59275
PULIYOOR,9.30402,76.58765
VENMONY,9.24606,76.61466
MULAKKUZHA,9.29174,76.64766
BUDHANOOR,9.29187,76.55364
PANDANAD,9.33285,76.58006
THIRUVANVANDUR,9.34612,76.58278
MANNAR,9.31174,76.53939
CHERUTHANA,9.30237,76.44478
HARIPPAD,9.28303,76.45428
KARTHIKAPALLY,9.26131,76.44973
KARUVATTA,9.31538,76.42789
KUMARAPURAM,9.28351,76.44012
PALLIPPAD,9.27958,76.47802
TRIKKUNNAPUZHA,9.25919,76.41048
VEEYAPURAM,9.31968,76.46054
CHINGOLI,9.24852,76.45186
Muhamma,9.61310,76.36263
Kanjikuzhi,9.62211,76.34264
Mararikulam North,9.61137,76.32967
Cherthala South,9.65217,76.31783
Thanneermukkom,9.67609,76.39245
CHENNITHALA,9.28072,76.52700
CHETTIKULANGARA,9.22886,76.51711
THEKKEKARA,9.21764,76.55166
THAZHAKARA,9.23612,76.58855
ARATUPUZHA,9.20170,76.43613
CHEPPAD,9.24110,76.46989
DEVIKULANGARA,9.14811,76.49696
KANDALLOOR,9.17628,76.47353
KRISHNAPURAM,9.15149,76.52432
MUTHUKULAM,9.21512,76.45916
PATHIYOOR,9.21021,76.49570
Kadakkarapally,9.70349,76.31407
Pattanakkad,9.73240,76.31862
Vayalar,9.72223,76.34062
Thuravoor,9.75722,76.31825
Kuthiathodu,9.79104,76.31148
Kodamthuruthu,9.79656,76.31593
Ezhupunna,9.82339,76.30518
Aroor,9.86634,76.30518
Chennam Pallipuram,9.74110,76.36283
Thykkattussery,9.77344,76.34242
Panavally,9.81623,76.35132
Perumbalam,9.84247,76.35922
Arookutty,9.86458,76.32404
Kavalam,9.47263,76.46090
Muttar,9.40068,76.49949
Neelamperoor,9.49103,76.49721
Pulincunnu,9.44978,76.44809
Ramankary,9.42348,76.46635
Veliyanadu,9.42491,76.48879
Alangad,10.11806,76.28528
Kadungallur,10.09591,76.31796
Varapuzha,10.07528,76.27111
Karumalloor,10.13014,76.29292
Chengamanad,10.13601,76.35368
Sreemoolanagram,10.13570,76.40552
Karukutty,10.23993,76.37275
Mookkannur,10.21904,76.41267
Thuravoor,10.20512,76.42167
Kalady,10.16713,76.43633
Manjapra,10.20450,76.45190
Kanjoor,10.14576,76.42598
Malayattoor Neeleswaram,10.18571,76.47537
Ayyampuzha,10.25378,76.47746
Cheranallur,10.04029,76.27952
Kadamakkudy,10.05261,76.26109
Asamannoor,10.09460,76.55649
Koovappady,10.15304,76.48218
Mudakuzha,10.13108,76.52904
Okkal,10.15380,76.45330
Rayamangalam,10.08506,76.51959
Vengoor,10.14590,76.54055
Keerampara,10.10418,76.66304
Kavalangad,10.05884,76.68036
Kottappady,10.11778,76.58982
Kuttampuzha,10.15149,76.73562
Nellikkuzhi,10.07788,76.58983
Paingottur,10.00532,76.71023
Pallarimangalam,10.03052,76.68178
Pindimana,10.10501,76.62391
Pothanikkad,10.01035,76.68081
Varappetty,10.02801,76.62627
Amballur,9.88258,76.39460
Chottanikkara,9.92985,76.39154
Edakkattuvayal,9.87512,76.43631
Mulamthuruthy,9.89849,76.38395
Udayamperur,9.89755,76.36928
Avoly,9.95791,76.62489
Arakuzha,9.93250,76.59918
Ayavana,9.98516,76.63812
Manjalloor,9.94423,76.64105
Kalloorkkad,9.96991,76.67178
Paipra,10.02078,76.56159
Marady,9.95584,76.56014
Valakom,9.97990,76.54073
Chellanam,9.93733,76.24566
Kumbalam,9.85455,76.27353
Kumbalangy,9.89502,76.28471
Maneed,9.91400,76.45768
Elanji,9.83086,76.54057
Koothattukulam,9.86173,76.59573
Palakuzha,9.88122,76.60651
Pampakuda,9.91883,76.52136
Piravom,9.87761,76.48495
Ramamangalam,9.94272,76.48168
Thirumarady,9.88779,76.55426
Kunnukara,10.15591,76.29513
Nedumbassery,10.16223,76.36914
Parakkadavu,10.18803,76.32842
Puthenvelikkara,10.18687,76.24595
Chendamangalam,10.17970,76.20970
Chittattukara,10.15000,76.23120
Ezhikkara,10.11111,76.22861
Kottuvally,10.11680,76.25851
Vadakkekara,10.16403,76.21366
Aikkaranad,9.98297,76.47639
Kunnathunad,10.02489,76.40552
Mazhuvannoor,10.03478,76.50192
Poothrikka,9.96513,76.44459
Thiruvaniyoor,9.93396,76.42506
Vadavucode/Puthencruz,9.97637,76.41875
Choornikkara,10.08836,76.34339
Edathala,10.07228,76.38112
Keezhmad,10.10278,76.38806
Kizhakkambalam,10.03667,76.40750
Vazhakkulam,10.11235,76.41980
Vengola,10.07972,76.46622
Elamkunnapuzha,10.01819,76.22591
Mulavukad,10.02449,76.25719
Edavanakkad,10.09080,76.20907
Kuzhuppilly,10.10987,76.20299
Nayarambalam,10.05642,76.21491
Njarakkal,10.04350,76.21842
Pallippuram,10.13900,76.19500
Rajakkad,9.96119,77.09691
Konnathady,9.95753,77.02908
Adimaly,10.00936,76.95807
Pallivasal,10.00918,77.03653
Baisonvalley,10.00965,77.08356
Vellathooval,9.97718,77.02748
Elappara,9.63096,76.97879
Kokkayar,9.57574,76.89381
Kumaly,9.60541,77.16526
Peruvanthanam,9.55352,76.92549
Peerumedu,9.57315,76.99201
Vandiperiyar,9.57140,77.08953
Chinnakanal,10.04064,77.17268
Devikulam,10.10506,77.12701
Mankulam,10.12600,76.92500
Kanthalloor,10.21529,77.19491
Marayoor,10.27653,77.16262
Santhanpara,9.96532,77.21578
Munnar,10.08537,77.05926
Vattavada,10.18390,77.25920
Alakkode,9.88243,76.76519
Karimannoor,9.92080,76.77834
Kodikulam,9.94813,76.76505
Kudayathoor,9.82710,76.78950
Udumbanoor,9.90610,76.81355
Vannapuram,9.98793,76.78975
Velliyamattom,9.84797,76.82864
Idukki/Kanjikuzhy,9.95254,76.93400
Arakulam,9.79121,76.85216
Kamashy,9.83976,77.03467
Mariyapuram,9.85651,76.98777
Vathikudy,9.91409,77.00825
Vazhathope,9.87447,76.95916
Chakkupallam,9.66456,77.15747
Ayyappancoil,9.69828,77.03992
Kanchiyar,9.73853,77.06223
Kattappana,9.75431,77.11583
Upputhara,9.69947,77.02109
Vandenmedu,9.72289,77.12312
Nedumkandam,9.83427,77.15893
Karunapuram,9.78021,77.20658
Udmbanchola,9.89980,77.17791
Senapathy,9.95004,77.18015
Rajakumari,9.96864,77.15271
Pampadumpara,9.79940,77.16128
Erattayar,9.79494,77.10758
Muttom,9.83956,76.74606
Purapuzha,9.88297,76.64230
Edavetty,9.89339,76.74526
Kumaramangalam,9.93750,76.70847
Karimkunnam,9.85289,76.68607
Manakkad,9.91013,76.67610
CHELORA,11.89983,75.43089
CHEMBILODE,11.87723,75.45687
EDAKKAD,11.84587,75.41694
ELAYAVOOR,11.88638,75.40370
KADAMBOOR,11.83440,75.45296
MUNDERI,11.91226,75.45546
KEEZHALLUR,11.92834,75.52731
MUZHAPPILANGAD,11.80943,75.44380
ANCHARAKANDY,11.88622,75.48619
KOLACHERRY,11.97233,75.40938
ERUVESSEY,12.09501,75.54652
IRIKKUR,11.98495,75.55082
KUTTIATTOR,11.95850,75.47431
MALAPATTOM,12.01876,75.48788
MAYYIL,11.99264,75.45131
PADIYUR,11.99837,75.62802
PAYYAVOOR,12.06068,75.58124
SREEKANDAPURAM,12.04450,75.50856
ULIKKAL,12.03754,75.66535
ARALAM,11.99676,75.72643
AYYANKUNNU,12.03236,75.74512
KEEZHUR - CHAVASSERI,11.96413,75.65553
KOODALI,11.94123,75.50500
PAYAM,12.00286,75.68956
THILLANKERI,11.92860,75.66010
CHERUKUNNU,11.99646,75.29441
CHERUTHAZHAM,12.07123,75.25962
EZHOME,12.03821,75.29293
KANNAPURAM,11.98594,75.31177
MADAYI,12.02435,75.26678
MATTOOL,11.97356,75.28573
