,FPOI,GP,LAT,LONG,LAT1,LONG1,distance
0,1.0,1.0,9.40597,76.35058000000001,9.40633,76.3511,0.06970993136558626
1,2.0,2.0,9.38293,76.35571999999999,9.38353,76.3559,0.0695999091938401
2,3.0,3.0,9.43647,76.34446,9.45094,76.34243000000001,1.6248347215281407
3,3.0,4.0,9.43647,76.34446,9.43259,76.34533,0.44200337178050486
4,3.0,5.0,9.43647,76.34446,9.35314,76.36546,9.55096961145022
5,4.0,6.0,9.57197,76.34708,9.540460000000001,76.34255,3.539897825252539
6,5.0,7.0,9.60374,76.35898,9.57108,76.34763000000001,3.840127816864378
7,5.0,8.0,9.60374,76.35898,9.66347,76.30921,8.598113326010889
8,6.0,9.0,9.17532,76.56168000000001,9.17735,76.55344000000001,0.9325528253963856
9,7.0,10.0,9.18783,76.5965,9.197980000000001,76.59788,1.1391058796008646
10,8.0,11.0,9.14569,76.61649,9.14514,76.61471,0.20482180046208245
11,9.0,12.0,9.175930000000001,76.63622,9.193589999999999,76.63638,1.9643974188134325
12,10.0,13.0,9.12861,76.55682,9.17517,76.63955,10.457345261200585
13,10.0,14.0,9.12861,76.55682,9.130239999999999,76.55618,0.19445152464714494
14,11.0,15.0,9.4354,76.42005,9.43548,76.42206999999999,0.22182304849980167
15,12.0,16.0,9.47808,76.38613000000001,9.366,76.47618,15.907658606356277
16,13.0,17.0,9.402610000000001,76.40981,9.478580000000001,76.38683,8.818297846642986
17,14.0,18.0,9.372060000000001,76.41125,9.40223,76.41136,3.355825780039837
18,14.0,19.0,9.372060000000001,76.41125,9.37164,76.41185,0.08073583438659694
19,14.0,20.0,9.372060000000001,76.41125,9.36839,76.5084,10.669604936394437
20,15.0,21.0,9.27587,76.5865,9.28624,76.60863,2.689222540988433
21,16.0,22.0,9.30142,76.58712,9.27547,76.59275,2.951834505785088
22,17.0,23.0,9.24663,76.61452,9.30402,76.58765,7.032024005999308
23,18.0,24.0,9.29927,76.63454,9.24606,76.61466,6.308072424003393
24,19.0,25.0,9.30935,76.56378000000001,9.291739999999999,76.64766,9.413355309361664
25,20.0,26.0,9.3385,76.5771,9.29187,76.55364,5.790694464846163
26,20.0,27.0,9.3385,76.5771,9.33285,76.58006,0.7074561968462332
27,20.0,28.0,9.3385,76.5771,9.346119999999999,76.58278,1.052146187929331
28,20.0,29.0,9.3385,76.5771,9.311739999999999,76.53939,5.098167857161461
29,21.0,30.0,9.284939999999999,76.45455,9.30237,76.44478000000001,2.215592018847637
30,22.0,31.0,9.25687,76.45025,9.28303,76.45428000000001,2.9432117317457056
31,23.0,32.0,9.31674,76.42936999999999,9.26131,76.44973,6.558047209501001
32,24.0,33.0,9.28005,76.4755,9.315380000000001,76.42789,6.538718156116898
33,25.0,34.0,9.25915,76.40881,9.28351,76.44012,4.376692783664612
34,26.0,35.0,9.330010000000001,76.46338,9.279580000000001,76.47802,5.83496839121134
35,26.0,36.0,9.330010000000001,76.46338,9.25919,76.41048,9.786255484682133
36,26.0,37.0,9.330010000000001,76.46338,9.31968,76.46054000000001,1.1905372508543524
37,26.0,38.0,9.330010000000001,76.46338,9.24852,76.45186,9.151905623200726
38,27.0,39.0,9.62152,76.33193,9.6131,76.36263000000001,3.4946004780888584
39,28.0,40.0,9.659139999999999,76.31814,9.622110000000001,76.34264,4.9176124277161914
40,29.0,41.0,9.70379,76.31730999999999,9.611369999999999,76.32967,10.368820073716579
41,30.0,42.0,9.67935,76.37679,9.65217,76.31783,7.1369656518535605
42,30.0,43.0,9.67935,76.37679,9.67609,76.39245,1.7549407543163782
43,31.0,44.0,9.27922,76.53384,9.28072,76.527,0.7691683170607967
44,32.0,45.0,9.22772,76.51522,9.228860000000001,76.51711,0.2431798704903805
45,33.0,46.0,9.299760000000001,76.5355,9.21764,76.55166,9.304879055481278
46,34.0,47.0,9.24395,76.58533,9.23612,76.58855,0.9399412634381147
47,35.0,48.0,9.23823,76.4711,9.2017,76.43613,5.590278324368341
48,36.0,49.0,9.175889999999999,76.47305,9.2411,76.46989,7.261590895981219
49,37.0,50.0,9.153080000000001,76.52637,9.14811,76.49696,3.2766088917262053
50,38.0,51.0,9.21371,76.46155999999999,9.17628,76.47353000000001,4.36586262760184
51,39.0,52.0,9.20629,76.49452,9.151489999999999,76.52431999999999,6.918176430503004
52,39.0,53.0,9.20629,76.49452,9.215119999999999,76.45916,4.00468150735692
53,39.0,54.0,9.20629,76.49452,9.21021,76.4957,0.45486262458812926
54,40.0,55.0,9.736139999999999,76.31849,9.703489999999999,76.31407,3.6638405382352293
55,41.0,56.0,9.75651,76.31834,9.7324,76.31862,2.681926939221695
56,42.0,57.0,9.79687,76.31584000000001,9.72223,76.34062,8.73528415110354
57,43.0,58.0,9.867230000000001,76.30528000000001,9.75722,76.31825,12.31869038334965
58,43.0,59.0,9.867230000000001,76.30528000000001,9.791039999999999,76.31148,8.501798930227697
59,43.0,60.0,9.867230000000001,76.30528000000001,9.796560000000001,76.31593000000001,7.946796871256849
60,43.0,61.0,9.867230000000001,76.30528000000001,9.82339,76.30518000000001,4.876328203754868
61,43.0,62.0,9.867230000000001,76.30528000000001,9.86634,76.30518000000001,0.09959924255402626
62,44.0,63.0,9.73991,76.36275,9.7411,76.36283,0.13265372721403298
63,45.0,64.0,9.77332,76.35295,9.773439999999999,76.34241999999999,1.1543288133483995
64,46.0,65.0,9.81674,76.35036,9.816230000000001,76.35132,0.11953512915126364
65,47.0,66.0,9.86162,76.32359,9.84247,76.35922,4.447875936234239
66,47.0,67.0,9.86162,76.32359,9.86458,76.32404,0.3329129213685457
67,48.0,68.0,9.40927,76.49857,9.47263,76.4609,8.17016076777514
68,49.0,69.0,9.49103,76.49721,9.40068,76.49949000000001,10.0527286379652
69,50.0,70.0,9.449580000000001,76.44792,9.49103,76.49721,7.106388985853338
70,51.0,71.0,9.422789999999999,76.46915,9.44978,76.44809000000001,3.7884526029599783
71,52.0,72.0,9.42573,76.48810999999999,9.42348,76.46635,2.4007710862520515
72,52.0,73.0,9.42573,76.48810999999999,9.42491,76.48879000000001,0.11784061309491378
73,53.0,74.0,10.075280000000001,76.27139,10.11806,76.28528,4.99560786690073
74,54.0,75.0,10.12931,76.30036,10.09591,76.31796,4.185214053133276
75,55.0,76.0,10.12931,76.30036,10.075280000000001,76.27111,6.810027773399926
76,55.0,77.0,10.12931,76.30036,10.130139999999999,76.29292,0.8198646329199901
77,55.0,78.0,10.12931,76.30036,10.13601,76.35368000000001,5.885644491337362
78,55.0,79.0,10.12931,76.30036,10.1357,76.40552,11.536414171485053
79,56.0,80.0,10.22077,76.41289,10.239930000000001,76.37275,4.883358340979828
80,57.0,81.0,10.205910000000001,76.4218,10.21904,76.41266999999999,1.769685453253947
81,58.0,82.0,10.166730000000001,76.43751999999999,10.205119999999999,76.42166999999999,4.609209144241709
82,59.0,83.0,10.20444,76.4525,10.16713,76.43633,4.511776256426737
83,60.0,84.0,10.14529,76.42611,10.2045,76.4519,7.165646493640309
84,61.0,85.0,10.253730000000001,76.47825999999999,10.145760000000001,76.42598000000001,13.303484370579435
85,61.0,86.0,10.253730000000001,76.47825999999999,10.18571,76.47537,7.572464293360326
86,61.0,87.0,10.253730000000001,76.47825999999999,10.25378,76.47746,0.0877391478429388
87,62.0,88.0,10.03942,76.27855,10.040289999999999,76.27951999999999,0.14370636679303844
88,63.0,89.0,10.01871,76.22573,10.052610000000001,76.26109,5.405324613131364
89,64.0,90.0,10.09333,76.55694,10.0946,76.55649,0.14961052567417815
90,65.0,91.0,10.14944,76.48167,10.153039999999999,76.48218,0.4043020147555094
91,66.0,92.0,10.15232,76.52644000000001,10.13108,76.52904000000001,2.379611455666728
92,67.0,93.0,10.0853,76.5022,10.1538,76.4533,9.312561038108713
93,68.0,94.0,10.141860000000001,76.53553000000001,10.08506,76.51959000000001,6.554532560367124
94,69.0,95.0,10.08338,76.46595,10.1459,76.54055,10.72792589180804
95,70.0,96.0,10.11859,76.59183,10.10418,76.66304000000001,7.960682157737285
96,71.0,97.0,10.151580000000001,76.73574,10.05884,76.68036,11.965991375334326
97,72.0,98.0,10.07023,76.60406,10.11778,76.58981999999999,5.514073891595874
98,73.0,99.0,10.00561,76.68254,10.151489999999999,76.73562,17.23602202621015
99,74.0,100.0,10.02643,76.65762,10.07788,76.58983,9.374095817644566
100,75.0,101.0,10.10515,76.62444,10.00532,76.71023000000001,14.545863853931333
101,76.0,102.0,10.00941,76.68075,10.03052,76.68178,2.35077057710927
102,77.0,103.0,10.01517,76.62725999999999,10.10501,76.62391,9.999621185812524
103,77.0,104.0,10.01517,76.62725999999999,10.01035,76.68081,5.890087088913723
104,77.0,105.0,10.01517,76.62725999999999,10.02801,76.62626999999999,1.4323017724439369
105,78.0,106.0,9.89823,76.3836,9.88258,76.3946,2.1173224619963418
106,78.0,107.0,9.89823,76.3836,9.92985,76.39154,3.6230874594747187
107,78.0,108.0,9.89823,76.3836,9.875119999999999,76.43630999999999,6.322032199721502
108,78.0,109.0,9.89823,76.3836,9.898489999999999,76.38395,0.048032763425178385
109,78.0,110.0,9.89823,76.3836,9.89755,76.36928,1.570925172911968
110,79.0,111.0,9.93397,76.59908,9.95791,76.62489000000001,3.884146794615867
111,80.0,112.0,9.98272,76.63851,9.9325,76.59918,7.0546767520566185
112,81.0,113.0,9.944989999999999,76.64359,9.98516,76.63812,4.508107955141271
113,82.0,114.0,9.9657,76.66832,9.944230000000001,76.64105,3.824736754576827
114,83.0,115.0,9.95299,76.55478000000001,9.96991,76.67178,12.955127614334677
115,84.0,116.0,9.97863,76.53509,10.02078,76.56159,5.514238781734493
116,85.0,117.0,9.96011,76.62035,9.95584,76.56014,6.613331638571348
117,85.0,118.0,9.96011,76.62035,9.9799,76.54073000000001,8.995851388730957
118,11111.0,119.0,9.937330000000001,76.24566,9.937330000000001,76.24566,0.0
119,11111.0,120.0,9.85455,76.27353000000001,9.85455,76.27353000000001,0.0
120,11111.0,121.0,9.89502,76.28471,9.89502,76.28471,0.0
121,86.0,122.0,9.830119999999999,76.54274000000001,9.914,76.45768000000001,13.188303394173092
122,87.0,123.0,9.85723,76.59408,9.830860000000001,76.54057,6.556904747765082
123,88.0,124.0,9.86173,76.59573,9.86173,76.59573,0.0
124,89.0,125.0,9.92031,76.52060999999999,9.881219999999999,76.60651,10.368082093485162
125,90.0,126.0,9.92032,76.52060999999999,9.91883,76.52136,0.18498653450848576
126,91.0,127.0,9.944189999999999,76.48991,9.87761,76.48495,7.4255966985765625
127,92.0,128.0,9.89197,76.56361,9.94272,76.48168000000001,10.60422221829968
