S.no,FPOI ,LAT,LONG,GPs connected,
1,AMBALAPPUZHA,9.40597,76.35058,1,
2,AMBALAPPUZHA,9.38293,76.35572,1,
3,AMBALAPPUZHA,9.43647,76.34446,3,
4,ARYAD,9.57197,76.34708,1,
5,ARYAD,9.60374,76.35898,2,
6,BHARANICAVU,9.17532,76.56168,1,
7,BHARANICAVU,9.18783,76.59650,1,
8,BHARANICAVU,9.14569,76.61649,1,
9,BHARANICAVU,9.17593,76.63622,1,
10,BHARANICAVU,9.12861,76.55682,2,
11,CHAMPAKULAM,9.43540,76.42005,1,
12,CHAMPAKULAM,9.47808,76.38613,1,
13,CHAMPAKULAM,9.40261,76.40981,1,
14,CHAMPAKULAM,9.37206,76.41125,3,
15,CHENGANNUR,9.27587,76.58650,1,
16,CHENGANNUR,9.30142,76.58712,1,
17,CHENGANNUR,9.24663,76.61452,1,
18,CHENGANNUR,9.29927,76.63454,1,
19,CHENGANNUR,9.30935,76.56378,1,
20,CHENGANNUR,9.33850,76.57710,4,
21,HARIPPAD,9.28494,76.45455,1,
22,HARIPPAD,9.25687,76.45025,1,
23,HARIPPAD,9.31674,76.42937,1,
24,HARIPPAD,9.28005,76.47550,1,
25,HARIPPAD,9.25915,76.40881,1,
26,HARIPPAD,9.33001,76.46338,4,
27,KANJIKKUZHY,9.62152,76.33193,1,
28,KANJIKKUZHY,9.65914,76.31814,1,
29,KANJIKKUZHY,9.70379,76.31731,1,
30,KANJIKKUZHY,9.67935,76.37679,2,
31,MAVELIKKARA,9.27922,76.53384,1,
32,MAVELIKKARA,9.22772,76.51522,1,
33,MAVELIKKARA,9.29976,76.53550,1,
34,MAVELIKKARA,9.24395,76.58533,1,
35,MUTHUKULAM,9.23823,76.47110,1,
36,MUTHUKULAM,9.17589,76.47305,1,
37,MUTHUKULAM,9.15308,76.52637,1,
38,MUTHUKULAM,9.21371,76.46156,1,
39,MUTHUKULAM,9.20629,76.49452,2,
40,PATTANAKKAD,9.73614,76.31849,1,
41,PATTANAKKAD,9.75651,76.31834,1,
42,PATTANAKKAD,9.79687,76.31584,1,
43,PATTANAKKAD,9.86723,76.30528,5,
44,THYCATTUSSERY,9.73991,76.36275,1,
45,THYCATTUSSERY,9.77332,76.35295,1,
46,THYCATTUSSERY,9.81674,76.35036,1,
47,THYCATTUSSERY,9.86162,76.32359,2,
48,VELIYANAD,9.40927,76.49857,1,
49,VELIYANAD,9.49103,76.49721,1,
50,VELIYANAD,9.44958,76.44792,1,
51,VELIYANAD,9.42279,76.46915,1,
52,VELIYANAD,9.42573,76.48811,2,
53,ALANGAD,10.07528,76.27139,1,
54,ALANGAD,10.12931,76.30036,5,
55,ANGAMALI,10.22077,76.41289,1,
56,ANGAMALI,10.20591,76.42180,1,
57,ANGAMALI,10.16673,76.43752,1,
58,ANGAMALI,10.20444,76.45250,1,
59,ANGAMALI,10.14529,76.42611,1,
60,ANGAMALI,10.25373,76.47826,3,
61,EDAPPALLY,10.03942,76.27855,1,
62,EDAPPALLY,10.01871,76.22573,1,
63,KOOVAPPADY,10.09333,76.55694,1,
64,KOOVAPPADY,10.14944,76.48167,1,
65,KOOVAPPADY,10.15232,76.52644,1,
66,KOOVAPPADY,10.08530,76.50220,1,
67,KOOVAPPADY,10.14186,76.53553,1,
68,KOOVAPPADY,10.08338,76.46595,1,
69,KOTHAMANGALAM,10.11859,76.59183,1,
70,KOTHAMANGALAM,10.15158,76.73574,1,
71,KOTHAMANGALAM,10.07023,76.60406,1,
72,KOTHAMANGALAM,10.00561,76.68254,1,
73,KOTHAMANGALAM,10.02643,76.65762,1,
74,KOTHAMANGALAM,10.10515,76.62444,1,
75,KOTHAMANGALAM,10.00941,76.68075,1,
76,KOTHAMANGALAM,10.01517,76.62726,3,
77,MULANTHURUTHY,9.89823,76.38360,5,
78,MUVATTUPUZHA,9.93397,76.59908,1,
79,MUVATTUPUZHA,9.98272,76.63851,1,
80,MUVATTUPUZHA,9.94499,76.64359,1,
81,MUVATTUPUZHA,9.96570,76.66832,1,
82,MUVATTUPUZHA,9.95299,76.55478,1,
83,MUVATTUPUZHA,9.97863,76.53509,1,
84,MUVATTUPUZHA,9.96011,76.62035,2,
85,PAMPAKUDA,9.83012,76.54274,1,
86,PAMPAKUDA,9.85723,76.59408,1,
87,PAMPAKUDA,9.86173,76.59573,1,
88,PAMPAKUDA,9.92031,76.52061,1,
89,PAMPAKUDA,9.92032,76.52061,1,
90,PAMPAKUDA,9.94419,76.48991,1,
91,PAMPAKUDA,9.89197,76.56361,2,
92,PARAKKADAV,10.15598,76.35380,1,
93,PARAKKADAV,10.18734,76.32857,1,
94,PARAKKADAV,10.18861,76.24706,2,
95,PARAVUR,10.11832,76.25726,1,
96,PARAVUR,10.16960,76.21250,4,
97,VADAVUCODE,9.97889,76.47500,1,
98,VADAVUCODE,10.02466,76.40349,1,
99,VADAVUCODE,10.03776,76.50353,1,
100,VADAVUCODE,9.95819,76.44614,1,
101,VADAVUCODE,9.93436,76.42464,2,
102,VAZHAKKULAM,10.08779,76.34296,1,
103,VAZHAKKULAM,10.03648,76.40755,1,
104,VAZHAKKULAM,10.11213,76.42495,1,
105,VAZHAKKULAM,10.08338,76.46595,3,
106,VYPEEN,10.09407,76.20688,1,
107,VYPEEN,10.11070,76.20305,1,
