FPOI BLOCk,LAT,LONG,LAT1,LONG1
MARTAM,27.25728,88.50813,27.31844,88.59744
MARTAM,27.25728,88.50813,27.25563,88.50463
MARTAM,27.27703,88.52833,27.28557,88.53973
MARTAM,27.27723,88.57868,27.27703,88.52833
MARTAM,27.27783,88.59028,27.26868,88.57802
MARTAM,27.29393,88.59028,27.29222,88.59003
REGHU,27.20343,88.69903,27.21343,88.68436
REGHU,27.20343,88.69903,27.19643,88.67688
REGHU,27.20343,88.69903,27.20758,88.73847
REGHU,27.20343,88.69903,27.20617,88.68583
REGHU,27.20343,88.69903,27.20818,88.72608
REGHU,27.20343,88.69903,27.21358,88.66753
REGHU,27.20343,88.69903,27.20813,88.69447
REGHU,27.22127,88.73768,27.22127,88.73768
RHENOCK,27.17772,88.65667,27.17772,88.65682
RHENOCK,27.17813,88.64412,27.25427,88.63737
RHENOCK,27.17818,88.64067,27.17818,88.64073
RHENOCK,27.17963,88.63733,27.19853,88.65007
RHENOCK,27.17963,88.63733,27.17823,88.64409
MANGAN,27.41153,88.58639,27.50194,88.53489
MANGAN,27.49419,88.53144,27.43306,88.52986
MANGAN,27.49419,88.53144,27.40317,88.55169
MANGAN,27.49419,88.53144,27.49383,88.53239
MANGAN,27.49419,88.53144,27.51689,88.55419
MANGAN,27.49419,88.53144,27.44536,88.52647
MANGAN,27.50194,88.53489,27.54276,88.63532
JORETHANG,27.12986,88.28569,27.16277,88.30839
JORETHANG,27.16113,88.30789,27.14001,88.30426
JORETHANG,27.16113,88.30789,27.16113,88.30791
NAMCHI,27.12873,88.34712,27.15587,88.32135
NAMCHI,27.14572,88.34997,27.16843,88.39117
NAMCHI,27.15967,88.41072,27.12123,88.34712
NAMCHI,27.16065,88.33002,27.18812,88.36028
NAMCHI,27.1684,88.39102,27.16005,88.40918
NAMCHI,27.16857,88.16857,27.14572,88.34997
NAMCHI,27.16857,88.48002,27.1356,88.36893
NAMCHI,27.16857,88.48002,27.127,88.33712
NAMCHI,27.18812,88.36028,27.20708,88.35717
GYALSHING,27.29202,88.25432,27.30467,88.18847
GYALSHING,27.29257,88.24063,27.29312,88.24915
GYALSHING,27.29293,88.25758,27.27897,88.25475
GYALSHING,27.29312,88.24915,27.27942,88.20848
GYALSHING,27.30278,88.23148,27.27688,88.18477
GYALSHING,27.30278,88.23148,27.30588,88.24028
GYALSHING,27.30278,88.23148,27.31382,88.26838
GYALSHING,27.31442,88.26858,27.28658,88.23458
