FPOI BLOCk,LAT,LONG
MARTAM,27.25728,88.50813
MARTAM,27.25728,88.50813
MARTAM,27.27703,88.52833
MARTAM,27.27723,88.57868
MARTAM,27.27783,88.59028
MARTAM,27.29393,88.59028
REGHU,27.20343,88.69903
REGHU,27.20343,88.69903
REGHU,27.20343,88.69903
REGHU,27.20343,88.69903
REGHU,27.20343,88.69903
REGHU,27.20343,88.69903
REGHU,27.20343,88.69903
REGHU,27.22127,88.73768
RHENOCK,27.17772,88.65667
RHENOCK,27.17813,88.64412
RHENOCK,27.17818,88.64067
RHENOCK,27.17963,88.63733
RHENOCK,27.17963,88.63733
MANGAN,27.41153,88.58639
MANGAN,27.49419,88.53144
MANGAN,27.49419,88.53144
MANGAN,27.49419,88.53144
MANGAN,27.49419,88.53144
MANGAN,27.49419,88.53144
MANGAN,27.50194,88.53489
JORETHANG,27.12986,88.28569
JORETHANG,27.16113,88.30789
JORETHANG,27.16113,88.30789
NAMCHI,27.12873,88.34712
NAMCHI,27.14572,88.34997
NAMCHI,27.15967,88.41072
NAMCHI,27.16065,88.33002
NAMCHI,27.1684,88.39102
NAMCHI,27.16857,88.16857
NAMCHI,27.16857,88.48002
NAMCHI,27.16857,88.48002
NAMCHI,27.18812,88.36028
GYALSHING,27.29202,88.25432
GYALSHING,27.29257,88.24063
GYALSHING,27.29293,88.25758
GYALSHING,27.29312,88.24915
GYALSHING,27.30278,88.23148
GYALSHING,27.30278,88.23148
GYALSHING,27.30278,88.23148
GYALSHING,27.31442,88.26858
