FPOI BLOCk,LAT,LONG,LAT1,LONG1
ASWAPURAM,17.835479,80.835243,17.86651,80.86391
ASWAPURAM,17.768623,80.858506,17.83727,80.82645
ASWAPURAM,17.768912,80.833082,17.80937,80.87002
ASWAPURAM,17.814970,80.830945,17.82232,80.82717
ASWAPURAM,17.821052,80.828387,17.81216,80.79163
ASWAPURAM,17.821330,80.829447,17.86121,80.83018
ASWAPURAM,17.836830,80.835503,17.76642,80.84030
ASWAPURAM,17.841257,80.846566,17.88868,80.83104
ASWAPURAM,17.869763,80.830084,17.76835,80.83373
ASWARAOPETA,17.386942,81.113780,17.27298,81.04623
ASWARAOPETA,17.386777,81.114728,17.35896,81.19435
ASWARAOPETA,17.238164,81.127616,17.38660,81.11470
ASWARAOPETA,17.243304,81.124173,17.24290,81.13251
ASWARAOPETA,17.249437,81.045743,17.40964,81.17317
ASWARAOPETA,17.251233,81.081598,0.00000,0.00000
ASWARAOPETA,17.286250,81.119657,17.30278,81.07836
ASWARAOPETA,17.289208,81.119406,17.33002,81.23894
ASWARAOPETA,17.301797,81.081485,17.37481,81.26345
ASWARAOPETA,17.315830,81.185300,17.38240,81.09386
ASWARAOPETA,17.330018,81.238939,17.45581,81.12726
ASWARAOPETA,17.382206,81.093901,17.26264,81.08339
ASWARAOPETA,17.382712,81.065974,17.38720,81.15194
ASWARAOPETA,17.387370,81.151790,17.28921,81.11941
ASWARAOPETA,17.391417,81.111639,17.24336,81.12058
ASWARAOPETA,17.453830,81.124747,17.38291,81.06591
BAYYARAM,17.561812,80.148294,17.60948,80.09016
BAYYARAM,17.573130,80.104555,17.57503,80.10564
BAYYARAM,17.575027,80.105636,17.62898,80.07190
BAYYARAM,17.580506,80.107303,17.60332,80.13766
BAYYARAM,17.589972,80.093797,17.65815,80.19342
BAYYARAM,17.595878,80.083050,17.61649,80.16969
BAYYARAM,17.603324,80.137664,17.55762,80.14565
BAYYARAM,17.606955,80.121613,17.53637,80.11206
BAYYARAM,17.609481,80.090155,17.65043,80.13062
BAYYARAM,17.616490,80.169685,17.53238,80.14826
BAYYARAM,17.654342,80.198121,17.60691,80.06363
BHADRACHALAM,17.619462,81.119477,17.66904,80.88510
BHADRACHALAM,17.631644,81.081723,17.66705,80.98704
BHADRACHALAM,17.635739,81.089312,17.63778,81.07511
BHADRACHALAM,17.637776,81.075111,17.64659,81.08128
BHADRACHALAM,17.638102,81.096838,17.66440,80.92966
BHADRACHALAM,17.647211,81.074770,17.73914,80.91419
BHADRACHALAM,17.647728,80.935735,17.65246,81.07040
BHADRACHALAM,17.648551,80.912667,17.72237,81.05202
BHADRACHALAM,17.651495,80.956739,17.62532,81.12340
BHADRACHALAM,17.659074,80.974101,17.65438,81.08924
BHADRACHALAM,17.660312,81.002153,17.63848,81.10997
BHADRACHALAM,17.665256,80.986733,17.66031,81.00215
BHADRACHALAM,17.666304,80.890867,0.00000,0.00000
BHADRACHALAM,17.667102,80.886941,17.65831,80.91349
BHADRACHALAM,17.690360,81.021855,17.68934,81.02304
BHADRACHALAM,17.712177,80.908629,17.65818,80.95545
BONAKAL,17.042524,80.310783,16.99809,80.30822
BONAKAL,17.031093,80.262307,17.02306,80.26358
BONAKAL,16.956052,80.321388,17.03309,80.34097
BONAKAL,16.981498,80.302939,17.04030,80.31825
BONAKAL,16.991176,80.330256,17.02347,80.24321
BONAKAL,17.021360,80.344074,17.02391,80.21867
BONAKAL,17.023465,80.243205,17.06072,80.26365
BONAKAL,17.030804,80.257578,16.98647,80.29804
BONAKAL,17.031540,80.262338,17.04194,80.31061
BONAKAL,17.034432,80.338040,17.02178,80.34389
BONAKAL,17.037407,80.242290,17.07641,80.27004
BONAKAL,17.037557,80.286216,16.96249,80.32626
BONAKAL,17.038587,80.316719,17.04028,80.23128
BONAKAL,17.039133,80.277706,17.03668,80.31348
BONAKAL,17.053400,80.327697,17.05156,80.30806
BONAKAL,17.060715,80.263648,17.06275,80.24326
BURGAMPAHAD,17.617565,80.778080,17.64464,80.86624
BURGAMPAHAD,17.619015,80.865376,17.62960,80.97927
BURGAMPAHAD,17.621333,80.947394,17.73522,80.86907
BURGAMPAHAD,17.622661,80.904866,17.65903,80.81218
BURGAMPAHAD,17.631004,80.808595,17.63224,80.81326
BURGAMPAHAD,17.632899,80.889033,17.67936,80.81314
BURGAMPAHAD,17.643462,80.807250,17.67071,80.85920
BURGAMPAHAD,17.643471,80.867244,17.62010,80.94413
BURGAMPAHAD,17.659609,80.810916,17.62567,80.78639
BURGAMPAHAD,17.679762,80.866328,17.68875,80.86722
BURGAMPAHAD,17.688488,80.869128,17.61902,80.86538
BURGAMPAHAD,17.689698,80.817600,17.62664,80.90147
CHANDRUGONDA,17.388163,80.642910,17.38011,80.70950
CHANDRUGONDA,17.323273,80.696305,17.37507,80.78181
CHANDRUGONDA,17.327355,80.691890,17.38792,80.64391
CHANDRUGONDA,17.328992,80.700789,17.37596,80.65997
CHANDRUGONDA,17.335913,80.720846,17.41590,80.58888
CHANDRUGONDA,17.362279,80.770066,17.32899,80.70079
CHANDRUGONDA,17.371356,80.777937,17.37825,80.62269
CHANDRUGONDA,17.375960,80.659966,17.35907,80.66367
CHANDRUGONDA,17.378508,80.747842,17.37820,80.74761
CHANDRUGONDA,17.381538,80.712824,17.34860,80.73532
CHANDRUGONDA,17.387919,80.643914,17.32327,80.69631
CHANDRUGONDA,17.388560,80.643016,17.34775,80.76645
CHANDRUGONDA,17.392309,80.582896,17.38731,80.58412
CHANDRUGONDA,17.392832,80.585325,17.39551,80.60470
CHANDRUGONDA,17.394727,80.609229,17.43556,80.59546
CHANDRUGONDA,17.414094,80.643569,17.41532,80.64467
CHINTHAKANI,17.142112,80.189928,17.15544,80.18871
CHINTHAKANI,17.158535,80.248195,17.19025,80.19240
CHINTHAKANI,17.157031,80.260029,17.15046,80.16776
CHINTHAKANI,17.123808,80.203281,17.02918,80.17773
CHINTHAKANI,17.059155,80.190261,17.12164,80.20907
CHINTHAKANI,17.059876,80.239974,17.12405,80.19210
CHINTHAKANI,17.067167,80.213089,17.19100,80.21975
CHINTHAKANI,17.080032,80.224875,17.15490,80.21720
CHINTHAKANI,17.098247,80.199385,17.10767,80.18176
CHINTHAKANI,17.107987,80.270594,17.12643,80.27874
CHINTHAKANI,17.112052,80.269088,17.06851,80.21487
CHINTHAKANI,17.113679,80.193869,17.14197,80.23339
CHINTHAKANI,17.118231,80.191322,17.14850,80.17678
CHINTHAKANI,17.124217,80.204864,17.08715,80.22776
CHINTHAKANI,17.141972,80.233392,17.10799,80.27059
CHINTHAKANI,17.142078,80.236929,17.17965,80.17417
CHINTHAKANI,17.144729,80.177078,17.05916,80.19026
CHINTHAKANI,17.146660,80.238372,17.07459,80.16796
CHINTHAKANI,17.148495,80.176777,17.20257,80.22236
DAMMAPETA,17.297751,80.919745,17.22661,81.02489
DAMMAPETA,17.239966,81.007333,17.37658,80.96415
DAMMAPETA,17.245213,80.973378,17.26617,81.01141
DAMMAPETA,17.248133,81.008846,17.30748,80.92086
DAMMAPETA,17.259032,80.932835,17.22864,80.90699
DAMMAPETA,17.263487,81.011917,17.35449,80.93851
DAMMAPETA,17.266172,81.011409,17.29195,80.99015
DAMMAPETA,17.275930,80.863312,17.29896,80.95001
DAMMAPETA,17.281075,80.878782,17.31542,81.04593
DAMMAPETA,17.282844,80.879093,17.23997,81.00733
DAMMAPETA,17.287406,80.894917,17.25778,80.94210
DAMMAPETA,17.291790,80.901135,17.29179,80.90114
DAMMAPETA,17.307476,80.920856,17.24515,80.97434
DAMMAPETA,17.308979,80.920556,17.23500,80.87698
DAMMAPETA,17.314520,81.044329,17.28108,80.87878
DAMMAPETA,17.341411,80.946563,17.34580,80.96152
DAMMAPETA,17.345798,80.961517,17.31671,81.02095
DUMMUGUDEM,17.775722,80.882715,17.85938,80.92400
DUMMUGUDEM,17.786984,81.031040,17.81622,80.96571
DUMMUGUDEM,17.790583,80.881084,17.89320,80.92324
DUMMUGUDEM,17.813702,80.893712,17.85098,80.88544
DUMMUGUDEM,17.816221,80.965708,17.82510,80.89445
DUMMUGUDEM,17.825097,80.894445,17.91422,80.95156
DUMMUGUDEM,17.825315,80.953937,17.89354,80.91323
DUMMUGUDEM,17.838304,80.923724,17.75688,81.04849
DUMMUGUDEM,17.844791,80.898951,17.84479,80.89895
DUMMUGUDEM,17.844938,80.898761,17.83830,80.92372
DUMMUGUDEM,17.851475,80.899612,17.78698,81.03104
DUMMUGUDEM,17.859554,80.900490,17.80980,80.90364
DUMMUGUDEM,17.870551,80.904445,17.77572,80.88272
DUMMUGUDEM,17.893252,80.918877,17.91228,80.96903
DUMMUGUDEM,17.902772,80.929368,17.93121,80.89651
DUMMUGUDEM,17.905586,80.920024,17.83728,80.97694
DUMMUGUDEM,17.914219,80.951564,17.90277,80.92937
ENKOOR,17.321108,80.437646,17.32351,80.37857
ENKOOR,17.259321,80.426412,17.34443,80.44798
ENKOOR,17.314196,80.405168,17.36226,80.39918
ENKOOR,17.331948,80.458921,17.32999,80.44076
ENKOOR,17.332058,80.438503,17.30649,80.39885
ENKOOR,17.332776,80.480873,17.36637,80.42533
ENKOOR,17.333936,80.388901,17.33306,80.48082
ENKOOR,17.336186,80.442489,17.26634,80.39688
ENKOOR,17.338887,80.430898,17.37229,80.37283
ENKOOR,17.340821,80.428672,17.36694,80.34049
ENKOOR,17.348693,80.397382,17.33153,80.45886
ENKOOR,17.356805,80.397403,17.33394,80.38890
ENKOOR,17.372290,80.372825,17.37453,80.36635
ENKOOR,17.374528,80.366354,17.34091,80.42766
GARLA,17.455389,80.187707,17.45463,80.13576
GARLA,17.471759,80.162986,17.48656,80.14020
GARLA,17.467980,80.206591,17.49588,80.16492
GARLA,17.486170,80.139435,17.47099,80.16253
GARLA,17.452024,80.185246,17.48039,80.20413
GARLA,17.469317,80.145298,17.45232,80.18540
GARLA,17.486557,80.140196,17.49328,80.12689
GARLA,17.486780,80.142591,17.52028,80.16664
JULURUPADU,17.381386,80.474891,17.39476,80.53760
JULURUPADU,17.394378,80.538427,17.45850,80.49825
JULURUPADU,17.394493,80.524013,17.39519,80.52069
JULURUPADU,17.406886,80.504649,17.40642,80.49993
JULURUPADU,17.408288,80.501078,17.42523,80.54967
JULURUPADU,17.427916,80.545418,17.47091,80.53313
JULURUPADU,17.447229,80.527094,17.46596,80.54861
JULURUPADU,17.449033,80.528435,17.44955,80.55007
JULURUPADU,17.465964,80.548609,17.45582,80.53383
JULURUPADU,17.466915,80.551142,17.44452,80.52516
KALLUR,17.174141,80.534113,17.23239,80.58406
KALLUR,17.058415,80.451637,17.16909,80.55290
KALLUR,17.068897,80.472701,17.12587,80.49437
KALLUR,17.084845,80.455993,17.05806,80.45190
