FPOI BLOCk,LAT,LONG
ASWAPURAM,17.835479,80.835243
ASWAPURAM,17.768623,80.858506
ASWAPURAM,17.768912,80.833082
ASWAPURAM,17.814970,80.830945
ASWAPURAM,17.821052,80.828387
ASWAPURAM,17.821330,80.829447
ASWAPURAM,17.836830,80.835503
ASWAPURAM,17.841257,80.846566
ASWAPURAM,17.869763,80.830084
ASWARAOPETA,17.386942,81.113780
ASWARAOPETA,17.386777,81.114728
ASWARAOPETA,17.238164,81.127616
ASWARAOPETA,17.243304,81.124173
ASWARAOPETA,17.249437,81.045743
ASWARAOPETA,17.251233,81.081598
ASWARAOPETA,17.286250,81.119657
ASWARAOPETA,17.289208,81.119406
ASWARAOPETA,17.301797,81.081485
ASWARAOPETA,17.315830,81.185300
ASWARAOPETA,17.330018,81.238939
ASWARAOPETA,17.382206,81.093901
ASWARAOPETA,17.382712,81.065974
ASWARAOPETA,17.387370,81.151790
ASWARAOPETA,17.391417,81.111639
ASWARAOPETA,17.453830,81.124747
BAYYARAM,17.561812,80.148294
BAYYARAM,17.573130,80.104555
BAYYARAM,17.575027,80.105636
BAYYARAM,17.580506,80.107303
BAYYARAM,17.589972,80.093797
BAYYARAM,17.595878,80.083050
BAYYARAM,17.603324,80.137664
BAYYARAM,17.606955,80.121613
BAYYARAM,17.609481,80.090155
BAYYARAM,17.616490,80.169685
BAYYARAM,17.654342,80.198121
BHADRACHALAM,17.625867,81.057273
BHADRACHALAM,17.619462,81.119477
BHADRACHALAM,17.631644,81.081723
BHADRACHALAM,17.635739,81.089312
BHADRACHALAM,17.637776,81.075111
BHADRACHALAM,17.638102,81.096838
BHADRACHALAM,17.647211,81.074770
BHADRACHALAM,17.647728,80.935735
BHADRACHALAM,17.648551,80.912667
BHADRACHALAM,17.651495,80.956739
BHADRACHALAM,17.659074,80.974101
BHADRACHALAM,17.660312,81.002153
BHADRACHALAM,17.665256,80.986733
BHADRACHALAM,17.666304,80.890867
BHADRACHALAM,17.667102,80.886941
BHADRACHALAM,17.690360,81.021855
BHADRACHALAM,17.712177,80.908629
BONAKAL,17.042524,80.310783
BONAKAL,17.031093,80.262307
BONAKAL,16.956052,80.321388
BONAKAL,16.981498,80.302939
BONAKAL,16.991176,80.330256
BONAKAL,17.021360,80.344074
BONAKAL,17.023465,80.243205
BONAKAL,17.030804,80.257578
BONAKAL,17.031540,80.262338
BONAKAL,17.034432,80.338040
BONAKAL,17.037407,80.242290
BONAKAL,17.037557,80.286216
BONAKAL,17.038587,80.316719
BONAKAL,17.039133,80.277706
BONAKAL,17.053400,80.327697
BONAKAL,17.060715,80.263648
BURGAMPAHAD,17.617565,80.778080
BURGAMPAHAD,17.619015,80.865376
BURGAMPAHAD,17.621333,80.947394
BURGAMPAHAD,17.622661,80.904866
BURGAMPAHAD,17.631004,80.808595
BURGAMPAHAD,17.632899,80.889033
BURGAMPAHAD,17.643462,80.807250
BURGAMPAHAD,17.643471,80.867244
BURGAMPAHAD,17.659609,80.810916
BURGAMPAHAD,17.679762,80.866328
BURGAMPAHAD,17.688488,80.869128
BURGAMPAHAD,17.689698,80.817600
CHANDRUGONDA,17.388163,80.642910
CHANDRUGONDA,17.323273,80.696305
CHANDRUGONDA,17.327355,80.691890
CHANDRUGONDA,17.328992,80.700789
CHANDRUGONDA,17.335913,80.720846
CHANDRUGONDA,17.362279,80.770066
CHANDRUGONDA,17.371356,80.777937
CHANDRUGONDA,17.375960,80.659966
CHANDRUGONDA,17.378508,80.747842
CHANDRUGONDA,17.381538,80.712824
CHANDRUGONDA,17.387919,80.643914
CHANDRUGONDA,17.388560,80.643016
CHANDRUGONDA,17.392309,80.582896
CHANDRUGONDA,17.392832,80.585325
CHANDRUGONDA,17.394727,80.609229
CHANDRUGONDA,17.414094,80.643569
CHINTHAKANI,17.142112,80.189928
CHINTHAKANI,17.158535,80.248195
CHINTHAKANI,17.157031,80.260029
CHINTHAKANI,17.123808,80.203281
CHINTHAKANI,17.059155,80.190261
CHINTHAKANI,17.059876,80.239974
CHINTHAKANI,17.067167,80.213089
CHINTHAKANI,17.080032,80.224875
CHINTHAKANI,17.098247,80.199385
CHINTHAKANI,17.107987,80.270594
CHINTHAKANI,17.112052,80.269088
CHINTHAKANI,17.113679,80.193869
CHINTHAKANI,17.118231,80.191322
CHINTHAKANI,17.124217,80.204864
CHINTHAKANI,17.141972,80.233392
CHINTHAKANI,17.142078,80.236929
CHINTHAKANI,17.144729,80.177078
CHINTHAKANI,17.146660,80.238372
CHINTHAKANI,17.148495,80.176777
CHINTHAKANI,17.179285,80.176935
CHINTHAKANI,17.185148,80.184695
DAMMAPETA,17.297751,80.919745
DAMMAPETA,17.239966,81.007333
DAMMAPETA,17.245213,80.973378
DAMMAPETA,17.248133,81.008846
DAMMAPETA,17.259032,80.932835
DAMMAPETA,17.263487,81.011917
DAMMAPETA,17.266172,81.011409
DAMMAPETA,17.275930,80.863312
DAMMAPETA,17.281075,80.878782
