GP_NAME,LAT,LONG
AMERDA,17.84126,80.84657
AMMAGARIPALLI,17.86650,80.86391
ASWAPURAM,17.83727,80.82645
CHINTRIYALA,17.80937,80.87002
GOLLAGUDEM,17.82232,80.82717
GONDIGUDEM,17.81216,80.79163
JAGGARAM,17.86121,80.83018
MALLELAMADUGU,17.76642,80.8403
MITTAGUDEM,17.88868,80.83104
MONDIKUNTA,17.76835,80.83373
NELLIPAKA,17.76828,80.85841
THUMMALACHERUVU,17.77167,80.79336
ACHUTHAPURAM,17.27298,81.04622
ANANTHARAM,17.35896,81.19435
ASUPAKA,17.3866,81.1147
ASWARAOPETA,17.2429,81.13251
BACHUVARIGUDEM,17.40964,81.17317
GUMMADIVALLI GP,0,0
JAMMIGUDEM,17.30278,81.07836
KANNAIGUDEM,17.33002,81.23894
KAVIDIGUNDLA,17.37481,81.26345
KOTHA MAMILLAVARI GUDEM,17.3824,81.09386
NANDIPADU,17.45581,81.12726
NARAMVARIGUDEM,17.26264,81.08339
NARAYANA PURAM,17.3872,81.15194
OOTLAPALLI,17.28921,81.11941
PERAIGUDEM,17.24336,81.12058
TIRUMALAKUNTA,17.38291,81.06591
BALAJIPETA,17.60948,80.09016
BAYYARAM,17.57503,80.10564
GOWRARAM,17.62898,80.0719
IRSULAPURAM,17.60332,80.13766
KAMBALAPALLI,17.65815,80.19342
KOTHAGUDEM,17.61649,80.16969
KOTHAPETA,17.55762,80.14565
MULKANOOR,17.53637,80.11206
RAMACHANDRAPURAM,17.65043,80.13062
SEETHAMPETA,17.53238,80.14826
UPPALAPADU,17.60691,80.06363
VENKATAPURAM,17.69593,80.22154
VENKATRAMPURAM,17.58997,80.0938
BHADRACHALAM,17.66904,80.8851
CHODAVARAM,17.66705,80.98704
GANNAVARAM,17.63778,81.07511
GOWRIDEVIPETA,17.64659,81.08128
GUNDALA,17.6644,80.92966
KANNAIGUDEM & G.KOTHAGUDEM,17.73914,80.91419
KRISHNAVARAM,17.65246,81.0704
LAXMIPURAM,17.72237,81.05202
MURUMURU,17.62532,81.1234
NALLAKUNTA,17.65438,81.08924
NANDIGAMA,17.63848,81.10997
NELLIPAKA,17.66031,81.00215
PITCHIKALAPADU GP,0,0
PURUSHOTHAPATNAM,17.65831,80.91349
RAMAGOPALAPURAM,17.68934,81.02304
RAYANIPETA,17.65818,80.95545
TRIPURA PENTA VEEDU & THOTAPALLI,17.62634,81.05287
VENKATAREDDIPETA,17.66049,80.9704
VISSAPURAM,17.69058,81.09808
YETAPAKA,17.69085,80.90373
ALLAPADU,16.99809,80.30822
BONAKAL,17.02306,80.26358
BRAHMANAPALLI,17.03309,80.34097
CHINNA BEERAVALLI,17.0403,80.31825
CHIRUNOMULA,17.02347,80.24321
CHOPPAKATLA PALEM,17.02391,80.21867
GARLAPADU,17.06072,80.26365
GOVINDAPURAM,16.98647,80.29804
JANAKIPURAM,17.04194,80.31061
KALAKOTA,17.02178,80.34389
LAXMIPURAM,17.07641,80.27004
MOTAMARRI,16.96249,80.32626
MUSTIKUNTLA,17.04028,80.23128
NARAYANAPURAM,17.03668,80.31348
PEDABEERAVALLI,17.05156,80.30806
RAMAPURAM,17.06275,80.24326
RAPALLI,17.05925,80.34696
RAVINOOTHALA,17.03913,80.27771
RAYANIPETA,16.99213,80.32828
TUTIKUNTLA,17.10385,80.28325
BURGAMPAHAD,17.64464,80.86624
GANAPAVARAM,17.6296,80.97927
IRAVENDI,17.73522,80.86907
LAKSHMIPURAM,17.65903,80.81218
MORAMPALLI,17.63224,80.81326
MUSALIMADUGU,17.67936,80.81314
NAGINENIPROLU,17.67071,80.8592
PEDA RAVIGUDEM,17.6201,80.94413
PINAPAKA PATTINAGAR,17.62567,80.78639
SARAPAKA,17.68875,80.86722
SEETHARAMA NAGAR,17.61902,80.86538
SRIDHARA VELAIR,17.62664,80.90147
TEKULACHERUVU,17.65854,80.78148
ABBUGUDEM,17.38011,80.7095
ANNAPUREDDIPALLI,17.37507,80.78181
CHANDRUGONDA,17.38792,80.64391
DAMERACHERLA,17.37596,80.65997
GANUGAPADU,17.4159,80.58888
GUMPENA,17.32899,80.70079
GURRAMGUDEM,17.37825,80.62269
MADDUKURU,17.35907,80.66367
MARRIGUDEM,17.3782,80.74761
NARSAPURAM,17.3486,80.73532
PEDDIREDDIGUDEM,17.32327,80.69631
PENTLAM,17.34775,80.76645
POKALAGUDEM,17.38731,80.58412
RAVIKAMPADU,17.39551,80.6047
THUNGARAM,17.43556,80.59546
TIPPANAPALLI,17.41532,80.64467
VOOTUPALLI,17.33591,80.72085
ANANTHASAGAR,17.15544,80.18871
BASVAPURAM,17.19025,80.1924
BOPPARAM,17.15046,80.16776
CHINAMANDAVA,17.02918,80.17773
CHINTHAKANI,17.12164,80.20907
JAGANNADHAPURAM,17.12405,80.1921
KODUMURU,17.191,80.21975
LATCHAGUDEM,17.1549,80.2172
MATHKEPALLI,17.10767,80.18176
NAGILI GONDA,17.12643,80.27874
NAGULA VANCHA,17.06851,80.21487
NERADA,17.14197,80.23339
PANDILLAPALLI,17.1485,80.17678
PATHARLAPADU,17.08715,80.22776
PRODDUTUR,17.10799,80.27059
RAMAKRISHNAPURAM,17.17965,80.17417
SEETHAMPETA,17.05916,80.19026
THIMMINENIPALEM,17.07459,80.16796
VANDANAM,17.20257,80.22236
AKINEPALLI,17.22661,81.02489
ANKAMPALEM,17.37658,80.96415
DAMMAPETA,17.26617,81.01141
GANDUGULAPALLI,17.30748,80.92086
GANESHPADU,17.22864,80.90699
JAGGARAM,17.35449,80.93851
JAMEDARBANJAR,17.29195,80.99015
LINGALAPALLI,17.29896,80.95001
MALKARAM,17.31542,81.04593
MANDALAPALLI,17.23997,81.00733
MODDULAGUDEM,17.25778,80.9421
MONDIVARRE,17.29179,80.90114
MUSTIBANDA,17.24515,80.97434
NACHARAM,17.235,80.87698
NAGUPALLI,17.28108,80.87878
PATWARIGUDEM,17.3458,80.96152
PEDDAGOLLAGUDEM,17.31671,81.02095
TOTTIPAMPU,17.26183,80.8961
ANJIPAKA,17.85938,80.924
ARLAGUDEM,17.81622,80.96571
CHINA NALLABALLI,17.8932,80.92324
DUMMUGUDEM,17.85098,80.88544
GANGOLU,17.8251,80.89445
GOWRARAM,17.91422,80.95156
KASINAGARAM,17.89354,80.91323
KOTHAPALLI,17.75688,81.04849
LAXMINAGARAM,17.84479,80.89895
MAHADEVAPURAM,17.8383,80.92372
MARAIGUDEM,17.78698,81.03104
NADIKUDI,17.8098,80.90364
NARSAPURAM,17.77572,80.88272
PAIDIGUDEM,17.91228,80.96903
PARNASALA,17.93121,80.89651
PEDAKAMALAPURAM,17.83728,80.97694
PEDANALLABALLI,17.90277,80.92937
PRAGALLAPALLI,17.87055,80.90445
RAMARAOPETA,17.79627,80.90116
SINGAVARAM,17.78466,80.94525
TURUBAKA,17.75696,80.89417
ARIKAYALAPADU,17.32351,80.37857
BHAGAVAN NAYAK THANDA,17.34443,80.44798
BURDA RAGHAVAPURAM,17.36226,80.39918
ENKURU,17.32999,80.44076
JANNARAM,17.30649,80.39885
KESUPALLI,17.36637,80.42533
NACHARAM,17.33306,80.48082
NUKALAMPADU,17.26634,80.39688
RAIMADARAM,17.37229,80.37283
RAJA LINGALA,17.36694,80.34049
REPALLEWADA,17.33153,80.45886
SRIRAMGIRI,17.33394,80.3889
TIMMARAOPETA,17.37453,80.36635
TUTAKALINGANNA PETA,17.34091,80.42766
BUDDHARAM,17.45463,80.13576
GARLA,17.48656,80.1402
GOPALAPURAM,17.49588,80.16492
MARRIGUDEM,17.47099,80.16253
POCHARAM,17.48039,80.20413
PULLURU,17.45232,80.1854
RAMPURAM,17.49328,80.12689
SERIPURAM,17.52028,80.16664
ANANTHARAM,17.39476,80.5376
BETHALAMPADU,17.4585,80.49825
GUNDEPUDI,17.39519,80.52069
JULURPAD,17.40642,80.49993
KAKARLA,17.42523,80.54967
KARIVARIGUDEM,17.47091,80.53313
KOMMUGUDEM,17.46596,80.54861
MACHINENIPETA,17.44955,80.55007
MACHINENIPETA THANDA,17.45582,80.53383
PADAMATI NARSAPURAM,17.44452,80.52516
PAPAKOLLU,17.41658,80.47853
VINOBHA NAGAR,17.37903,80.47018
BATHULAPALLY,17.23239,80.58406
CHANDRUPATLA,17.16909,80.5529
CHENNURU,17.12587,80.49437
CHINA KORUKONDI,17.05806,80.4519
KALLURU,17.19925,80.54474
KORLAGUDEM,17.18237,80.59299
LAKSHMIPURAM,17.24292,80.55822
LINGALA,17.15445,80.51327
MUCHARAM,17.1543,80.5947
MUGGUVENKATAPURAM,17.1684,80.49838
NARAYANAPURAM,17.18885,80.58007
PAYAPUR,17.17857,80.51373
PEDDAKORUKONDI,17.10395,80.46746
PERUVANCHA,17.17231,80.58397
POCHARAM,17.08405,80.45723
RAGHUNADHAGUDEM,17.14633,80.55867
TALLURUVENKATAPURAM,17.08067,80.42778
TELAGARAM,17.0689,80.4727
V.N.THANDA,17.17414,80.53411
VENNAVALLI,17.07712,80.50327
YAGNA NARAYANAPURAM,17.14838,80.48424
YERRABOINAPALLI,17.13641,80.52305
BASITH NAGAR,17.36835,80.29197
CAPTAIN BANJAR,17.42155,80.29255
GARIDEPALLI,17.3981,80.16366
GOVINDRALA,17.4211,80.21993
JASTHIPALLI,17.40121,80.2692
KAMEPALLI,17.44974,80.28305
KOMMINEPALLI,17.38156,80.22417
KOTHA LINGALA,17.41762,80.24162
MADDULAPALLI,17.39374,80.32163
MUCHERLA,17.39421,80.26349
NEMILIPURI,17.43592,80.21381
PATHALINGALA,17.43704,80.24313
PINJARAMADUGU,17.45881,80.24162
PONNEKAL,17.42555,80.18381
SATHANIGUDEM,17.38788,80.25611
THALLAGUDEM,17.45126,80.26353
VOOTUKUR,17.45727,80.29723
BUDIDEMPADU,17.35933,80.22597
CHIMMAPUDI,17.34933,80.20176
CHINTHAGURTHI,17.29337,80.24377
EERLAPUDI,17.32604,80.27187
KOTAPADU,17.34796,80.1851
KOYACHALKA,17.31698,80.18639
MALLEPALLI,17.31202,80.23266
MANCHUKONDA,17.34992,80.21919
PANGIDI,17.33704,80.30604
PAPATAPALLE,17.37784,80.1832
RAGHUNADHA PALEM,17.28977,80.20262
RAMKYA THANDA,17.33749,80.26405
REGULA CHALKA,17.31526,80.18755
SIVAIGUDEM,17.3223,80.2022
V.VENKATAYAPALEM,17.24755,80.2242
VEPAKUNTLA,17.27344,80.22767
